name,designation,speciality,location,fee
Dr Faisal Mamsa,American board certified psychiatrist,Psychiatrist,"Medilink Consulting Clinics                The Plaza, II Talwar.    Clifton ,",Fee: Rs 5000
Col Dr Nadir Khan,Associate Professor Cardiology,,"Central Military Hospital (CMH)                  Cantt , Lahore",Fee: Rs 1000
Dr Abc,Aesthetic and Cosmetic Dentistry,,", Islamabad",Fee: Rs 1500
Dr Ain ul Ghazala,Consultant Gynecologist & Sonologist,,"Race View Clinic                Opposite To Services Hospital  Jail Raod , Lahore",Fee: Rs 1500
Prof. Brig. Dr Arshad Chohan,ENT and Head & Neck Surgery,ENT Specialist,"Dr Chohan's ENT                Rafay Mall - 1st floor  Peshawar Road  , Rawalpindi",Fee: Rs 1500
Dr Muhammad Haris Burki,Consultant Psychiatrist & Sexologist,"Psychiatrist,Sexologist","Lahore Specialists Clinic                First Floor,Fazal Din Pharma Opposite Service Hospital,Jail Road,Lahore.  Jail Road , Lahore",
Dr. Rizwan Taj,N/A,Psychiatrist,"Citi Clinic                Basement Gondal Plaza, Near Citibank, Blue Area, Islamabad.   Blue Area , Islamabad",
Brig. Dr Nadir Ali,Including Haemostasis and Thrombosis,,"Kulsum International Hospital                 Kulsum Plaza, 2020,   Jinnah Ave , Islamabad",Fee: Rs 1500
Dr. Haris Mehmood,USA Certified Dentist,Dentist,"Hassaan Dental Clinic                14th Linear Commercial  Bahria Town, Phase VIII , Rawalpindi",Fee: Rs 700
Dr Khawaja Sajid Aslam,Knee & Hip Replacement,,"Pakistan International hospital                  Rawat , Rawalpindi",Fee: Rs 1500
Consultant  Dr. Arsana Rizwan,N/A,Skin Specialists | Dermatologists,"Begum Akhtar Rukhsana Memorial Welfare Trust Hospital                 Bahria Town Phase VIII,Rawalpindi .Ph:(92-51)5705790-2  Phase 8 , Islamabad",Fee: Rs 1000
Dr. Moazam Ayub,Kidney Transplantation,Nephrologist,"Bahria Internaional Hospital                Phase-8  Bahria Town , Rawalpindi",Fee: Rs 1200
Brig (R) Prof Dr M Babar Cheema,Consultant Physician & Diabetologist,Diabetologists,"Race Course Clinic                296/3 - Race Course Road  Race Course Road , Cantt , Rawalpindi",
Dr Farasat Ali Dogar,"Assistant Professor of Psychiatry, Sir Ganga Ram Hospital",Psychiatrist,"Willing Ways Clinic                71-ANear APWA College  Jail Road , Lahore",
Dr Muhammad Shahid Mustafa,Ex Professor of Neurology,Psychiatrist,"Neuro Care                Office # 804, 8th floor , Al-Khaleej Tower ,Shaheed millat road   Bahadurabad , karachi",
Dr  Aurangzeb abbassi,Neuro & Spinal Surgeon,,"Neurospinal & Cancer Care Institute                100/1, Depot Lines, Mansfield Street   Saddar , karachi",Fee: Rs 1000
Brig (R) Prof Dr Shahid Rasul,Cancer Specialist,,"Shaheen Health Plus                Mega Mall, Opposite AFIC   Saddar , Rawalpindi",Fee: Rs 1500
Dr Tahir Chaudhry,Diabetes and General Medicine Expert,,"Family Care medical Centre                281-B, Nargis Block  Allama Iqbal Town , Lahore",Fee: Rs 1000
Dr. Imran Mahmood Khan,Assistant Professor,"Child Specialist,Neonatologist,Pediatricians","Clinics & Diagnostics Hospital                Near Allied Bank, Main double Road, G-13/1  G-13 , Islamabad",Fee: Rs 1000
Dr. Muhammad Khawar Nazir,"Dermatologist, Cosmetic, Laser & Hair transplant Surgeon","Skin Specialists | Dermatologists,Hair Transplant Surgeon","Boston Aesthetics                 15-A Hali Road Gulberg 2, Lahore.Road behind Pace, Hafeez center & ChenOne is called Hali Road. Move towards Imam Bargah, Clinic is Adjacent to Gourmet Victoria Marquee.  Gulberg II , Lahore",Fee: Rs 2000
Dr. Afaq Hussain Chishti,Consultant Child Specialist,Paediatric Medicine,"South Punjab Clinics & Hospital                Chungi #1, Soraj Miani Road,Multan  Near chungi #1, soraj Miani Road,Multan , Multan",Fee: Rs 1000
Dr. Deeba Sattar Khan,N/A,Skin Specialists | Dermatologists,"Jinnah Memorial Hospital                2 A, Opposite Punjab House  Civil Lines , Rawalpindi",Fee: Rs 1000
Dr. Shahbaz Hanif Mehr,N/A,Urologist,"Ali Medical Centre                Near Islamabad Kachahri  F-8 Markaz (Main) , Islamabad",Fee: Rs 1500
Brigadier (R) Dr Mirza Khizer Hameed,Sitarae Imtiaz,ENT Specialist,"Maryam Memorial Hospital                Westridge  Peshawar Road , Rawalpindi",Fee: Rs 1100
Dr. Najeeb Alam Khan,Consultant Family Physician,Medical Specialist,"Alam Hospital                Nasir Plaza, Lehtrar Rd, Khanna Dak, Islamabad.  Khanna Pul , Islamabad",
Dr. Rizwan Sheikh,Head & Neck Surgery,ENT Specialist,"Siddiq Hospital                Near Asghar Mall Chowk  Asghar Mall Road , Rawalpindi",Fee: Rs 1000
Prof Dr Mazhar Ur Rehman,Diplomat Intercollegiate board in cardiothoracic surgery UK,Cardiologists,"Heart & Lungs - Surgery Clinic                32-T, Gulberg-II,off M.M. Alam Road,Lahore.  Gulberg-II , Lahore",
Dr. Waseem Sarwar Malghani,N/A,Gastroenterology,"Medicare Hospital                  62-A Abdali Road, Multan.  Abdali Road , Multan",
Professor Dr Khurshid Alam,Specialist In Ear Head & Neck Surgery,ENT Specialist,"Doctors Hospital & Medical Centre                Johar Town, Block G1,  Lahore  Johar Town , Lahore",Fee: Rs 2000
Dr Fahad Mustafa,Root Canal Treatment,,"Fahad Dental Square                Chaklala scheme 3 Market   , Rawalpindi",Fee: Rs 300
Prof Muhammad Rashid Zia,N/A,ENT Specialist,"Hameed Latif Hospital                14- Abu Baker Block New Garden Town, Lahore  New Garden Town , Lahore",
Dr Naeem Liaqat,Assistant Professor,Paediatric,"Medicare Hospital                Said Pur road   , Rawalpindi",
Dr NAEEM AMJAD,N/A,,"Spring Hospital                Opposite Madni Park   , Multan",Fee: Rs 1300
Prof Azam Samdani,N/A,Skin Specialists | Dermatologists,"Skin Solutions                Horizon Vista, Mezzanine Floor.Opposite Dolmen Mall Clifton Block: 4, Karachi.  Clifton  , karachi",
Dr Muhammad Ashraf Sultan,N/A,Pediatricians,"Mid City Hospital                3-A Shadman II, Jail Road Opposite Kinaird College, Lahore.  Shadman  , Lahore",
Dr  Javaid Iqbal,ASSOCIATE PROFESSOR MEDICINE,"Diabetes and Endocrine,Diabetologist,Diabetologists,General Physician,Medical Specialist","Diabetic’s Institute of Pakistan                71/A-1, Near Apwa college  Jail Road , Lahore",Fee: Rs 2000
Brig(r) Dr Z.M Raahat,Ear Nose & Throate | Head & Neck Surgey,ENT Specialist,"SURGIMED HOSPITAL                1 ZAFAR ALI ROADNEAR LAHORE GYM-KHANA  Cantt , Lahore",
Dr. Azhar Biabani,N/A,Dentist,"Begum Akhtar Rukhsana Memorial Welfare Trust                Dental Surgery Department Bahria Town Phase - VIII, Rawalpindi.  Bahria Town Phase - VIII , Rawalpindi",
Dr Shahid Sami,N/A,Cardiologists,"South City Hospital                Street 1, Block 3, Sharah-e-Firdous, Clifton,Karachi.	  Clifton , karachi",
Dr Prof Javed Haider Rizvi,N/A,Gynecologists,"South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton.  Clifton , karachi",
Dr Muhammad Arshad,Assistant Professor ENT and Head & Neck Surgery,,"Allied ENT Hospital                  Said pur Road , Rawalpindi",Fee: Rs 1500
Dr. Tariq Jalisi,Head & Neck Surgeon,E.N.T Specialist,"Darus Sehat Hospital                  Gulistan-e-Jauhar , karachi",Fee: Rs 600
Dr Nasheed Baig,N/A,ENT Specialist,"Maryam Memorial hospital                  Peshawar Rd , Rawalpindi",Fee: Rs 1200
Prof. Manzoor Ahmad,Head & Neck Surgeon,,"Rite Aid Medical Centre                685-Shadman-1 ,Opposite Fatima Memorial Hospital.   , Lahore",Fee: Rs 1500
Dr. Zafarullah khan,Tamgha e Imtiaz Military,Allergy Specialist/ otorhinolaryngist,"PAF Hospital                Sector E9 islamabad   Same , Islamabad",Fee: Rs 1000
Dr. Muhammad Aamir Khan,N/A,Cardiologists,"Armed Forces Institute of Cardiology.                Peshawar Rd, Rawalpindi.    Peshawar Rd , Rawalpindi",
Dr. Muhammad Tariq Farman,N/A,Cardiologists,"Medicare Hospital & Clinic                 Al-Khaleej Tower, Shaheed-e-Millat Road, Karachi.   Shaheed-e-Millat Road , karachi",
Brig Dr Shahid Aziz,N/A,,"Dr Aziz Clinic                2nd Floor Rafar Mall  Peshawar Road , Rawalpindi",Fee: Rs 1000
Dr Saulat Fatimi,N/A,Cardiologists,"Aga Khan University Hospital                Karachi.  Stadium Road , karachi",
