name,address,contact
"Ma Sha Allah Medical Store","Hassanabad Gate, 1 9B, near Gol masjid","+92 309 7399790"
"New Ahmad pharmacy","Multan","+92 310 0600394"
"Muslim pharmacy","opposite Moona Grammar School","+92 307 8882211"
"Ahmad Pharmacy Hafiz Jamal Road","Hafiz Jamal Rd","+92 321 6305071"
"Khidmat Pharmacy","5FPQ+GCW Nazad Dr Uzma Faiz indus hospital, Multan road","N/A"
"Saleem Son’s Pharmacy","Multan","N/A"
"Ghosiya Medicine company & Pharmacy","Shop, Sher Shah Road, Satwaan meel Chowk","+92 303 2507356"
"Rana Pharmacy Mill phatak","Mill Phatak, Multan","N/A"
"Multan Plus Pharmacy","Bosan Rd, near Chaseup","+92 304 6361624"
"CITY DRUGS","Bata Chowk, opposite Fatima Super Store","+92 300 6545256"
"Al-Aziz Pharmacy","100 Feet Rd","+92 322 8852525"
"Ahsan Medicine Company","Nishtar Rd","+92 347 7003077"
"Dr.Allah ditta(AD)","Makhdom pur lar","+92 306 6509212"
"Mediks Plus Pharmacy, Bosan Rd Branch","near Chase Up Mall","+92 61 6224427"
"DVAGO Pharmacy Surraya Medical Branch Multan","Surraya Medical, Vehari Rd, adjacent to Faisal Mukhtar Park","N/A"
"Ikram Medicine Company","Whole Sale Market, Town Hall, Multan","+92 61 4546761"
"Noor Fatima Medical Store","Ahmad Abad, Near Mumtazabad Flyover","+92 318 8381049"
"Alnafay enterprises medicine agancy","whole sale medican market Town Hall","+92 331 7335315"
"Yousaf Medical Store","5FF8+G4V, Suraj Kund Rd","N/A"
"Sameer Medical store","Khooni Burj, Baber Road, near tb raod","+92 306 6565443"
"Al Aziz Medical Store","Nishat Rd, Multan","N/A"
"Shahzaib Medical Store","Near Nishat Rd, Multan","N/A"
"Madina Medical Store","Peoples Colony, Multan","N/A"
"Al Rehman Medical Store","Block E, New Multan Colony","N/A"
"Mahad Medical Store","Near T.B Hospital Rd, Multan","N/A"
"Essa Pharmacy","T.B Hospital Rd, Multan","N/A"
"Clinix Bosan Road","Bosan Rd, opp. Emerson College","+92 61 6511101"
"Dilshad Pharmacy","6FHF+CVP, Young Scholars Rd","N/A"
"Pharmacy 24","Bosan Rd","+92 303 8045092"
"Chaudhary Pharmacy","Gulgasht Hospital Street","N/A"
"Qadriya pharmacy","Academy St, near Gulgasht Ave","N/A"
"Bilal Dawakhana and Pansaar Store","6FHF+3WP, near Gulgasht Ave","N/A"
"Mediks pharmacy","6FHF+JR5, near Bosan Rd","N/A"
"AKASH PHARMACY (MUMTAZABAD)","Mumtazabad, Multan","+92 308 3590399"
"Madina pharmacy","5FFQ+824, Mumtazabad","+92 308 7522809"
"Sultan Medical Store","Mumtazabad, Multan","N/A"
"Inam Pharmacy","Near Dehli Gate, Multan","N/A"
"Multan Pharmacy","Near Dehli Gate, Multan","N/A"
"Medicine Corner","Multan","N/A"
"M/S Ali medical store","Vehari Chowk, Multan","N/A"
"Fazal Din’s Pharma Plus","Abdali Rd, Multan","+92 61 4545454"
"Clinix Pharma Plus","Abdali Rd, Multan","N/A"
"Service Medical Store","Cantt, Multan","N/A"
"Al-Shifa Pharmacy","Cantt, Multan","N/A"
"Standard Medical Store","Cantt, Multan","N/A"
"New Shifa Pharmacy","Cantt, Multan","N/A"
"Islam Pharmacy","Nishtar Rd, Multan","+92 61 4500543"
"Islam Medical Store","Nishtar Rd, Multan","N/A"
"Khetran medicine company","Nishtar Rd, Multan","N/A"
"Zammad Pharmacy","Near Nishtar Park, Multan","N/A"
